# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/C14_MP_supertree_rooted.tre	(..)/12_F70_i50s90l70_parsDstart_rooted.tre	2758	0.07845986196876135	432.0	5506.0	0.9225454545454546	0.9205370101596516	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/C18_MP_supertree_rooted.tre	(..)/12_F70_i50s90l70_parsDstart_rooted.tre	2758	0.07547169811320754	416.0	5512.0	0.9245283018867925	0.9245283018867925	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/D8_MP_supertree_rooted.tre	(..)/12_F70_i50s90l70_parsDstart_rooted.tre	2758	0.07539900935608146	411.0	5451.0	0.935064935064935	0.9143686502177069	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/D9_MP_supertree_trimmed_rooted.tre	(..)/12_F70_i50s90l70_parsDstart_rooted.tre	2758	0.07366112228111862	403.0	5471.0	0.9333333333333333	0.9194484760522497	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S11_MP_supertree_rooted.tre	(..)/12_F70_i50s90l70_parsDstart_rooted.tre	2758	0.09649282209703798	531.0	5503.0	0.9049872588278122	0.9020319303338171	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S13_MP_supertree_rooted.tre	(..)/12_F70_i50s90l70_parsDstart_rooted.tre	2758	0.09658678286129267	532.0	5508.0	0.9040697674418605	0.9027576197387518	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S16_MP_supertree_rooted.tre	(..)/12_F70_i50s90l70_parsDstart_rooted.tre	2758	0.09368191721132897	516.0	5508.0	0.9069767441860465	0.9056603773584906	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S19_MP_supertree_trimmed_rooted.tre	(..)/12_F70_i50s90l70_parsDstart_rooted.tre	2758	0.09084302325581395	500.0	5504.0	0.9104803493449781	0.9078374455732946	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S9_MP_supertree_rooted.tre	(..)/12_F70_i50s90l70_parsDstart_rooted.tre	2758	0.09950882299436056	547.0	5497.0	0.9029551258664721	0.8980406386066764	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/full-raxml-itol-export_2758_reconciled.tre	(..)/12_F70_i50s90l70_parsDstart_rooted.tre	2758	0.07002902757619739	386.0	5512.0	0.9299709724238027	0.9299709724238027	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/fulldata_parsD_rooted.tre	(..)/12_F70_i50s90l70_parsDstart_rooted.tre	2758	0.07111756168359942	392.0	5512.0	0.9288824383164006	0.9288824383164006	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/C12_MP_supertree_rooted.tre	(..)/17_F50_i25s90l50_parsC_rooted.tre	2758	0.09014903671392221	496.0	5502.0	0.9115076474872542	0.908200290275762	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/C14_MP_supertree_rooted.tre	(..)/17_F50_i25s90l50_parsC_rooted.tre	2758	0.08972030512168544	494.0	5506.0	0.9112727272727272	0.909288824383164	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/C18_MP_supertree_rooted.tre	(..)/17_F50_i25s90l50_parsC_rooted.tre	2758	0.09325108853410741	514.0	5512.0	0.9067489114658926	0.9067489114658926	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/D8_MP_supertree_rooted.tre	(..)/17_F50_i25s90l50_parsC_rooted.tre	2758	0.09117593102183086	497.0	5451.0	0.9191094619666048	0.898766328011611	1	NA
