taxon,palgalans,nonlb,water,raptor,cor1,alcedin,pici,par+,psit,psitac,sub1,furn1,furn2,furn3,thm1,thm2,sub2,sub3,tyr1,tyr2,tyr3,tyr4,osc1,osc2,osc3
GALLIFORMES_Phasianidae_Syrmaticus ellioti,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Syrmaticus humiae,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Syrmaticus mikado,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Syrmaticus reevesii,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Syrmaticus soemmerringii,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Phasianus colchicus,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Chrysolophus amherstiae,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Chrysolophus pictus,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Polyplectron bicalcaratum,1,1,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Polyplectron chalcurum,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Polyplectron germaini,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Polyplectron inopinatum,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Polyplectron malacense,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Polyplectron napoleonis,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Argusianus argus,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Pavo cristatus,1,,1,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Pavo muticus,1,,,,,,,,,,,,,,,,,,,,,,,,
GALLIFORMES_Phasianidae_Afropavo congensis,1,,,,,,,,,,,,,,,,,,,,,,,,
CAPRIMULGIFORMES_Podargidae_Podargus strigoides,1,1,1, , ,,, ,,,,,,,,,,,,,,,,,
CAPRIMULGIFORMES_Podargidae_Batrachostomus septimus,,1,,,,,, ,,,,,,,,,,,,,,,,,
CAPRIMULGIFORMES_Steatornithidae_Steatornis caripensis,,1,1,,,,, ,,,,,,,,,,,,,,,,,
CAPRIMULGIFORMES_Nyctibiidae_Nyctibius aethereus,,1,1,,,,, ,,,,,,,,,,,,,,,,,
CAPRIMULGIFORMES_Nyctibiidae_Nyctibius griseus,,1,,1,,,,,,,,,,,,,,,,,,,,,
CAPRIMULGIFORMES_Nyctibiidae_Nyctibius jamaicensis,,1,,,,,, ,,,,,,,,,,,,,,,,,
CAPRIMULGIFORMES_Nyctibiidae_Nyctibius leucopterus,,1,,,,,,,,,,,,,,,,,,,,,,,
CAPRIMULGIFORMES_Nyctibiidae_Nyctibius maculosus,,1,,,,,,,,,,,,,,,,,,,,,,,
CAPRIMULGIFORMES_Nyctibiidae_nyctibius grandis,,1,,,,,,,,,,,,,,,,,,,,,,,
CAPRIMULGIFORMES_Nyctibiidae_nyctibius bracteatus,,1,,,,,,,,,,,,,,,,,,,,,,,
CAPRIMULGIFORMES_Caprimulgidae_eurostopodus macrotis2,,1, ,,,,,  ,,,,,,,,,,,,,,,,,
CAPRIMULGIFORMES_Caprimulgidae_eurostopodus mystacalis,,1,,,,,,,,,,,,,,,,,,,,,,,
CAPRIMULGIFORMES_Caprimulgidae_Hydropsalis rufiventris,,1,1,,,,, ,,,,,,,,,,,,,,,,,
CAPRIMULGIFORMES_Caprimulgidae_Antrostomus carolinensis,,1,,,1,,,,,,,,,,,,,,,,,,,,
CAPRIMULGIFORMES_Caprimulgidae_caprimulgus longirostris2,,1,,,,,, ,,,,,,,,,,,,,,,,,
APODIFORMES_Aegothelidae_aegotheles cristatus,,1,1,,,,,,,,,,,,,,,,,,,,,,
APODIFORMES_Aegothelidae_aegotheles insignis,,1,,,,,, ,,,,,,,,,,,,,,,,,
APODIFORMES_Hemiprocnidae_hemiprocne mystacea,,1, ,,,,, ,,,,,,,,,,,,,,,,,
APODIFORMES_Apodidae_Streptoprocne zonaris,,1,1,,,,, ,,,,,,,,,,,,,,,,,
APODIFORMES_Apodidae_Aerodramus vanikorensis,,1,,,,,, ,,,,,,,,,,,,,,,,,
APODIFORMES_Apodidae_Chaetura pelagica,,1,1,,,,,,,,,,,,,,,,,,,,,,
APODIFORMES_Trochilidae_Topaza pella,,1,1,,,,, ,,,,,,,,,,,,,,,,,
APODIFORMES_Trochilidae_Topaza pyra,,1,,,,,,,,,,,,,,,,,,,,,,,
APODIFORMES_Trochilidae_Florisuga fusca,,1,,,,,, ,,,,,,,,,,,,,,,,,
