clade,tree,presence
Pelecanimorphae,indv_50_sites_90_loci_90,TRUE
Pelecanes,indv_50_sites_90_loci_90,TRUE
Telluraves,indv_50_sites_90_loci_90,TRUE
Afroaves,indv_50_sites_90_loci_90,TRUE
Coraciimorphae,indv_50_sites_90_loci_90,TRUE
Cavitaves,indv_50_sites_90_loci_90,TRUE
Eucavitaves,indv_50_sites_90_loci_90,TRUE
Picocoraciades,indv_50_sites_90_loci_90,TRUE
Picodynastornithes,indv_50_sites_90_loci_90,TRUE
Australaves,indv_50_sites_90_loci_90,TRUE
Eufalconimorphae,indv_50_sites_90_loci_90,TRUE
Psittacopasseres,indv_50_sites_90_loci_90,TRUE
Palaeognathae,supertree,TRUE
Notopalaeognathae,supertree,TRUE
Novaeratitae,supertree,TRUE
Dinocrypturi,supertree,TRUE
Galloanserae,supertree,TRUE
Neoaves,supertree,TRUE
Columbimorphae,supertree,TRUE
Pteroclimesites,supertree,TRUE
Otidimorphae,supertree,TRUE
Musophagotides,supertree,TRUE
Mirandornithes,supertree,TRUE
Strisores,supertree,TRUE
Vanescaves,supertree,TRUE
Letornithes,supertree,TRUE
Daedalornithes,supertree,TRUE
Sedentaves,supertree,TRUE
Phaethoquornithes,supertree,TRUE
Phaethontimorphae,supertree,TRUE
Aequornithes,supertree,TRUE
Feraequornithes,supertree,TRUE
Procellariimorphae,supertree,TRUE
Pelecanimorphae,supertree,TRUE
Pelecanes,supertree,TRUE
Telluraves,supertree,TRUE
Afroaves,supertree,TRUE
Coraciimorphae,supertree,TRUE
Cavitaves,supertree,TRUE
Eucavitaves,supertree,TRUE
Picocoraciades,supertree,TRUE
Picodynastornithes,supertree,TRUE
Australaves,supertree,TRUE
Eufalconimorphae,supertree,TRUE
Psittacopasseres,supertree,TRUE
Palaeognathae,DivideConquer,TRUE
Notopalaeognathae,DivideConquer,TRUE
Novaeratitae,DivideConquer,TRUE
Dinocrypturi,DivideConquer,TRUE
Galloanserae,DivideConquer,TRUE
Neoaves,DivideConquer,TRUE
Columbimorphae,DivideConquer,TRUE
Pteroclimesites,DivideConquer,TRUE
Otidimorphae,DivideConquer,TRUE
Musophagotides,DivideConquer,TRUE
Mirandornithes,DivideConquer,TRUE
Strisores,DivideConquer,TRUE
Vanescaves,DivideConquer,TRUE
Letornithes,DivideConquer,TRUE
Daedalornithes,DivideConquer,TRUE
Sedentaves,DivideConquer,FALSE
Phaethoquornithes,DivideConquer,TRUE
Phaethontimorphae,DivideConquer,TRUE
Aequornithes,DivideConquer,TRUE
Feraequornithes,DivideConquer,TRUE
Procellariimorphae,DivideConquer,TRUE
Pelecanimorphae,DivideConquer,TRUE
Pelecanes,DivideConquer,TRUE
Telluraves,DivideConquer,TRUE
Afroaves,DivideConquer,TRUE
Coraciimorphae,DivideConquer,TRUE
Cavitaves,DivideConquer,TRUE
Eucavitaves,DivideConquer,TRUE
Picocoraciades,DivideConquer,TRUE
Picodynastornithes,DivideConquer,TRUE
Australaves,DivideConquer,TRUE
Eufalconimorphae,DivideConquer,TRUE
Psittacopasseres,DivideConquer,TRUE
